ref des,side,x,y,rotation
R525,back,15,-88,0
R526,back,25,-83,0
V508,back,43,-98,0
R527,back,25,-77,0
V509,back,41,-85,0
R528,back,22,-79,0
V510,front,25,-105,0
V511,back,29,-100,0
X1C,front,52,-11,0
X4,front,55,-50,0
V512,front,25,-95,0
X1D,front,52,-11,0
V513,back,8,-99,0
V514,back,19,-101,0
X1IC,front,52,-11,0
X50,front,69,-107,0
V516,front,22,-73,0
X2,front,11,-57,0
X52,front,25,-68,0
V537,back,38,-79,0
X3,front,85,-7,0
X1A,front,52,-11,0
