range / 1;coarse / 1;gain / 1;tune;freq / Hz;Urms(P32) / V;Urms(P40) / V;Urms(P53) / V;Urms(P58) / V;Uavg(P32) / V;Uavg(P40) / V;Uavg(P53) / V;Uavg(P58) / V
0;11;100;100;35394.842;0.06765998;0.06799961;0.09636712;0.3539934;-0.004120423;0.01715723;0.006789246;0.351505
0;11;100;611;35124.746;0.4025537;0.08343783;0.09519914;0.35102;-0.02809387;0.02461548;0.006655579;0.3505853
0;11;100;1122;35220.446;0.7269232;0.08301992;0.0943008;0.3381852;-0.03852844;0.02749145;0.00411377;0.3401338
0;11;100;1633;35132.906;1.081812;0.0849001;0.09498812;0.3299037;-0.09324402;0.03023437;0.006521606;0.3294649
0;11;100;2144;35045.239;1.43284;0.08272935;0.1047181;0.329536;0.04555176;0.02387939;0.005969848;0.3290468
0;11;100;2655;34957.233;1.752248;0.08433093;0.1072661;0.3105142;-0.1131775;0.03043457;0.004197387;0.3114883
0;11;100;3166;34869.056;2.054798;0.08217771;0.09882081;0.3098279;-0.003210449;0.02695679;0.005869446;0.3084616
0;11;100;3677;34780.615;2.383651;0.08230785;0.1017703;0.2993041;-0.009431152;0.0256189;0.006070251;0.2977257
0;11;611;100;34506.359;0.06695679;0.3985788;0.1068209;0.2642431;0.003036804;-0.00326416;0.007023315;0.2631271
0;11;611;611;34306.444;0.4037284;0.3954253;0.09603337;0.2486263;-0.03705689;-0.004080811;0.00680603;0.2484448
0;11;611;1122;34336.344;0.7469178;0.3998729;0.102213;0.247772;-0.06521729;0.01418091;0.006304321;0.2473077
0;11;611;1633;34251.009;1.066756;0.3927027;0.09717928;0.2273874;-0.0498999;0.00729126;0.007893066;0.2219899
0;11;611;2144;34165.554;1.423161;0.3962702;0.1051086;0.2113304;-0.002541504;-0.009498291;0.006203918;0.2100836
0;11;611;2655;34079.76;1.731524;0.3895903;0.09529746;0.2082368;-0.04314392;0.002608642;0.006538391;0.2093646
0;11;611;3166;33993.804;2.092466;0.3925391;0.09594104;0.1954807;-0.08053528;0.009163818;0.006488342;0.1966388
0;11;611;3677;33907.596;2.419616;0.3883659;0.09478015;0.190183;0.0006018066;-0.004146728;0.006488342;0.1893311
0;11;1122;100;33618.151;0.06617945;9.9E+037;0.09411087;0.1648989;-0.0003143921;9.9E+037;0.006421509;0.1654347
0;11;1122;611;33355.431;0.407495;0.7279677;0.09792325;0.1516729;-0.0477594;0.001337891;0.006187439;0.1497157
0;11;1122;1122;33452.534;0.7407382;0.7252945;0.09519035;0.1503686;-0.03939819;-0.001739502;0.007023315;0.1494983
0;11;1122;1633;33369.397;1.077865;0.7229186;0.0953869;0.1457468;-0.04160522;-0.001672363;0.007106933;0.1447993
0;11;1122;2144;33286.148;1.409508;0.7175953;0.09511479;0.1356281;-0.04782593;0.003077392;0.00657196;0.1326254
0;11;1122;2655;33202.575;1.747848;0.7178302;0.09566874;0.1303135;-0.04916382;0.003077392;0.007106933;0.1291806
0;11;1122;3166;33118.834;2.091966;0.7167784;0.09509544;0.1241991;-0.02568542;-0.00541748;0.004548645;0.1192308
0;11;1122;3677;33034.846;2.40581;0.7066318;0.1030131;0.1012035;0.01110352;-0.01418091;0.006722412;0.0990802
0;11;1633;100;32729.789;0.06749884;9.9E+037;0.0950286;0.05233031;0.000227417;9.9E+037;0.006471558;0.04938126
0;11;1633;611;32592.269;0.4131355;1.074568;0.09532377;0.04636629;-0.04916382;0.007825928;0.005618591;0.03817718
0;11;1633;1122;32568.571;0.746452;1.0637;0.0952325;0.03611575;-0.05458191;0.02267578;0.007123718;0.02988296
0;11;1633;1633;32487.636;1.076091;1.052871;0.09361202;0.0338203;-0.07270874;0.03056885;0.005250854;0.02943146
0;11;1633;2144;32406.595;1.401633;1.039938;0.09270553;0.03380546;-0.09478271;0.04080322;0.005635376;0.02871231
0;11;1633;2655;32325.23;1.723371;1.027629;0.08334961;0.02406791;-0.1211371;0.05257568;0.007759094;0.01436462
0;11;1633;3166;32243.708;2.061857;1.027126;0.09592186;0.01944033;-0.1330432;0.04983276;0.00772583;0.009782562
0;11;1633;3677;32161.951;2.436664;1.039799;0.09522724;0.02273888;-0.1083612;0.03217407;0.007090149;0.004749145
0;11;2144;100;31842.41;0.0663571;9.9E+037;0.09384395;0.02033992;-0.002481628;9.9E+037;0.005635376;-0.01147156
0;11;2144;611;31743.059;0.4037947;1.368625;0.08372395;0.03522028;-0.07117065;0.09665527;0.007658997;-0.01879593
0;11;2144;1122;31685.549;0.7302613;1.356791;0.07996655;0.04747821;-0.09571899;0.1036121;0.006220703;-0.04516723
0;11;2144;1633;31606.82;1.071334;1.36314;0.08401903;0.05102298;-0.1094311;0.09391357;0.006655579;-0.04844482
0;11;2144;2144;31527.969;1.420374;1.376664;0.09557781;0.05184554;-0.1080939;0.07056884;0.006053467;-0.0501004
0;11;2144;2655;31448.821;1.774302;1.384414;0.0933204;0.06580095;-0.0883612;0.04963257;0.006304321;-0.06322739
0;11;2144;3166;31369.508;2.125412;1.384327;0.09725153;0.07158267;-0.0658197;0.02200684;0.005819397;-0.0699498
0;11;2144;3677;31289.972;2.471841;1.378392;0.09847839;0.07254799;-0.03692322;0.006153564;0.006070251;-0.07078598
0;11;2655;100;30954.009;0.06585319;9.9E+037;0.09411265;0.1328237;0.006294312;9.9E+037;0.006287537;-0.1331605
